"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"1999"	"1999"	"Female"	"F"	12291	1852123	663.6
	"< 1 year"	"1"	"1999"	"1999"	"Male"	"M"	15646	1943639	805.0
"Total"	"< 1 year"	"1"	"1999"	"1999"			27937	3795762	736.0
	"< 1 year"	"1"	"2000"	"2000"	"Female"	"F"	12317	1856631	663.4
	"< 1 year"	"1"	"2000"	"2000"	"Male"	"M"	15718	1949017	806.5
"Total"	"< 1 year"	"1"	"2000"	"2000"			28035	3805648	736.7
	"< 1 year"	"1"	"2001"	"2001"	"Female"	"F"	12091	1962905	616.0
	"< 1 year"	"1"	"2001"	"2001"	"Male"	"M"	15477	2049753	755.1
"Total"	"< 1 year"	"1"	"2001"	"2001"			27568	4012658	687.0
	"< 1 year"	"1"	"2002"	"2002"	"Female"	"F"	12317	1932939	637.2
	"< 1 year"	"1"	"2002"	"2002"	"Male"	"M"	15717	2018522	778.6
"Total"	"< 1 year"	"1"	"2002"	"2002"			28034	3951461	709.5
	"< 1 year"	"1"	"2003"	"2003"	"Female"	"F"	12123	1942634	624.0
	"< 1 year"	"1"	"2003"	"2003"	"Male"	"M"	15902	2033237	782.1
"Total"	"< 1 year"	"1"	"2003"	"2003"			28025	3975871	704.9
	"< 1 year"	"1"	"2004"	"2004"	"Female"	"F"	12218	1962216	622.7
	"< 1 year"	"1"	"2004"	"2004"	"Male"	"M"	15718	2052042	766.0
"Total"	"< 1 year"	"1"	"2004"	"2004"			27936	4014258	695.9
	"< 1 year"	"1"	"2005"	"2005"	"Female"	"F"	12422	1956682	634.9
	"< 1 year"	"1"	"2005"	"2005"	"Male"	"M"	16018	2047711	782.2
"Total"	"< 1 year"	"1"	"2005"	"2005"			28440	4004393	710.2
	"< 1 year"	"1"	"2006"	"2006"	"Female"	"F"	12547	1975919	635.0
	"< 1 year"	"1"	"2006"	"2006"	"Male"	"M"	15980	2065819	773.5
"Total"	"< 1 year"	"1"	"2006"	"2006"			28527	4041738	705.8
	"< 1 year"	"1"	"2007"	"2007"	"Female"	"F"	12845	2027181	633.6
	"< 1 year"	"1"	"2007"	"2007"	"Male"	"M"	16293	2120816	768.2
"Total"	"< 1 year"	"1"	"2007"	"2007"			29138	4147997	702.5
	"< 1 year"	"1"	"2008"	"2008"	"Female"	"F"	12390	2022889	612.5
	"< 1 year"	"1"	"2008"	"2008"	"Male"	"M"	15669	2109846	742.7
"Total"	"< 1 year"	"1"	"2008"	"2008"			28059	4132735	678.9
	"< 1 year"	"1"	"2009"	"2009"	"Female"	"F"	11589	1959169	591.5
	"< 1 year"	"1"	"2009"	"2009"	"Male"	"M"	14823	2044418	725.0
"Total"	"< 1 year"	"1"	"2009"	"2009"			26412	4003587	659.7
	"< 1 year"	"1"	"2010"	"2010"	"Female"	"F"	10884	1929877	564.0
	"< 1 year"	"1"	"2010"	"2010"	"Male"	"M"	13702	2014276	680.2
"Total"	"< 1 year"	"1"	"2010"	"2010"			24586	3944153	623.4
	"< 1 year"	"1"	"2011"	"2011"	"Female"	"F"	10658	1952827	545.8
	"< 1 year"	"1"	"2011"	"2011"	"Male"	"M"	13327	2043710	652.1
"Total"	"< 1 year"	"1"	"2011"	"2011"			23985	3996537	600.1
	"< 1 year"	"1"	"2012"	"2012"	"Female"	"F"	10490	1926339	544.6
	"< 1 year"	"1"	"2012"	"2012"	"Male"	"M"	13139	2016738	651.5
"Total"	"< 1 year"	"1"	"2012"	"2012"			23629	3943077	599.3
	"< 1 year"	"1"	"2013"	"2013"	"Female"	"F"	10321	1925056	536.1
	"< 1 year"	"1"	"2013"	"2013"	"Male"	"M"	13119	2016727	650.5
"Total"	"< 1 year"	"1"	"2013"	"2013"			23440	3941783	594.7
	"< 1 year"	"1"	"2014"	"2014"	"Female"	"F"	10329	1930493	535.0
	"< 1 year"	"1"	"2014"	"2014"	"Male"	"M"	12886	2017857	638.6
"Total"	"< 1 year"	"1"	"2014"	"2014"			23215	3948350	588.0
	"< 1 year"	"1"	"2015"	"2015"	"Female"	"F"	10447	1942904	537.7
	"< 1 year"	"1"	"2015"	"2015"	"Male"	"M"	13008	2035134	639.2
"Total"	"< 1 year"	"1"	"2015"	"2015"			23455	3978038	589.6
	"< 1 year"	"1"	"2016"	"2016"	"Female"	"F"	10294	1939667	530.7
	"< 1 year"	"1"	"2016"	"2016"	"Male"	"M"	12867	2030478	633.7
"Total"	"< 1 year"	"1"	"2016"	"2016"			23161	3970145	583.4
	"< 1 year"	"1"	"2017"	"2017"	"Female"	"F"	9867	1924145	512.8
	"< 1 year"	"1"	"2017"	"2017"	"Male"	"M"	12468	2015150	618.7
"Total"	"< 1 year"	"1"	"2017"	"2017"			22335	3939295	567.0
	"< 1 year"	"1"	"2018"	"2018"	"Female"	"F"	9399	1879703	500.0
	"< 1 year"	"1"	"2018"	"2018"	"Male"	"M"	12068	1968505	613.1
"Total"	"< 1 year"	"1"	"2018"	"2018"			21467	3848208	557.8
	"< 1 year"	"1"	"2019"	"2019"	"Female"	"F"	9247	1847935	500.4
	"< 1 year"	"1"	"2019"	"2019"	"Male"	"M"	11674	1935117	603.3
"Total"	"< 1 year"	"1"	"2019"	"2019"			20921	3783052	553.0
	"< 1 year"	"1"	"2020 "	"2020"	"Female"	"F"	8723	1826869	477.5
	"< 1 year"	"1"	"2020 "	"2020"	"Male"	"M"	10859	1908141	569.1
"Total"	"< 1 year"	"1"	"2020 "	"2020"			19582	3735010	524.3
"Total"	"< 1 year"	"1"					557887	86913756	641.9
	"1-4 years"	"1-4"	"1999"	"1999"	"Female"	"F"	2274	7493614	30.3
	"1-4 years"	"1-4"	"1999"	"1999"	"Male"	"M"	2975	7846168	37.9
"Total"	"1-4 years"	"1-4"	"1999"	"1999"			5249	15339782	34.2
	"1-4 years"	"1-4"	"2000"	"2000"	"Female"	"F"	2155	7508434	28.7
	"1-4 years"	"1-4"	"2000"	"2000"	"Male"	"M"	2824	7861716	35.9
"Total"	"1-4 years"	"1-4"	"2000"	"2000"			4979	15370150	32.4
	"1-4 years"	"1-4"	"2001"	"2001"	"Female"	"F"	2208	7468536	29.6
	"1-4 years"	"1-4"	"2001"	"2001"	"Male"	"M"	2899	7817023	37.1
"Total"	"1-4 years"	"1-4"	"2001"	"2001"			5107	15285559	33.4
	"1-4 years"	"1-4"	"2002"	"2002"	"Female"	"F"	2052	7564711	27.1
	"1-4 years"	"1-4"	"2002"	"2002"	"Male"	"M"	2806	7913020	35.5
"Total"	"1-4 years"	"1-4"	"2002"	"2002"			4858	15477731	31.4
	"1-4 years"	"1-4"	"2003"	"2003"	"Female"	"F"	2139	7636693	28.0
	"1-4 years"	"1-4"	"2003"	"2003"	"Male"	"M"	2826	7979882	35.4
"Total"	"1-4 years"	"1-4"	"2003"	"2003"			4965	15616575	31.8
	"1-4 years"	"1-4"	"2004"	"2004"	"Female"	"F"	2136	7713175	27.7
	"1-4 years"	"1-4"	"2004"	"2004"	"Male"	"M"	2649	8058452	32.9
"Total"	"1-4 years"	"1-4"	"2004"	"2004"			4785	15771627	30.3
	"1-4 years"	"1-4"	"2005"	"2005"	"Female"	"F"	1991	7785123	25.6
	"1-4 years"	"1-4"	"2005"	"2005"	"Male"	"M"	2765	8127884	34.0
"Total"	"1-4 years"	"1-4"	"2005"	"2005"			4756	15913007	29.9
	"1-4 years"	"1-4"	"2006"	"2006"	"Female"	"F"	2090	7775092	26.9
	"1-4 years"	"1-4"	"2006"	"2006"	"Male"	"M"	2541	8122053	31.3
"Total"	"1-4 years"	"1-4"	"2006"	"2006"			4631	15897145	29.1
	"1-4 years"	"1-4"	"2007"	"2007"	"Female"	"F"	2069	7813088	26.5
	"1-4 years"	"1-4"	"2007"	"2007"	"Male"	"M"	2634	8164877	32.3
"Total"	"1-4 years"	"1-4"	"2007"	"2007"			4703	15977965	29.4
	"1-4 years"	"1-4"	"2008"	"2008"	"Female"	"F"	2037	7891294	25.8
	"1-4 years"	"1-4"	"2008"	"2008"	"Male"	"M"	2693	8247098	32.7
"Total"	"1-4 years"	"1-4"	"2008"	"2008"			4730	16138392	29.3
	"1-4 years"	"1-4"	"2009"	"2009"	"Female"	"F"	1955	7943260	24.6
	"1-4 years"	"1-4"	"2009"	"2009"	"Male"	"M"	2495	8297671	30.1
"Total"	"1-4 years"	"1-4"	"2009"	"2009"			4450	16240931	27.4
	"1-4 years"	"1-4"	"2010"	"2010"	"Female"	"F"	1856	7952058	23.3
	"1-4 years"	"1-4"	"2010"	"2010"	"Male"	"M"	2460	8305151	29.6
"Total"	"1-4 years"	"1-4"	"2010"	"2010"			4316	16257209	26.5
	"1-4 years"	"1-4"	"2011"	"2011"	"Female"	"F"	1841	7909731	23.3
	"1-4 years"	"1-4"	"2011"	"2011"	"Male"	"M"	2405	8255790	29.1
"Total"	"1-4 years"	"1-4"	"2011"	"2011"			4246	16165521	26.3
	"1-4 years"	"1-4"	"2012"	"2012"	"Female"	"F"	1823	7856870	23.2
