"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"2019"	"2019"	"Assault by drugs, medicaments and biological substances"	"X85"	"Male"	"M"	14	1935117	Unreliable
	"< 1 year"	"1"	"2020 "	"2020"	"Assault by drugs, medicaments and biological substances"	"X85"	"Male"	"M"	10	1908141	Unreliable
	"< 1 year"	"1"	"2020 "	"2020"	"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent"	"Y11"	"Female"	"F"	10	1826869	Unreliable
	"1-4 years"	"1-4"	"2015"	"2015"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	"Female"	"F"	10	7786776	Unreliable
	"1-4 years"	"1-4"	"2016"	"2016"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Male"	"M"	12	8156375	Unreliable
	"1-4 years"	"1-4"	"2020 "	"2020"	"Assault by drugs, medicaments and biological substances"	"X85"	"Male"	"M"	12	7953016	Unreliable
	"1-4 years"	"1-4"	"2020 "	"2020"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	"Female"	"F"	10	7613266	Unreliable
	"1-4 years"	"1-4"	"2020 "	"2020"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	"Male"	"M"	10	7953016	Unreliable
	"5-9 years"	"5-9"	"2020 "	"2020"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	13	10346753	Unreliable
	"10-14 years"	"10-14"	"1999"	"1999"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Female"	"F"	22	9855664	0.2
	"10-14 years"	"10-14"	"1999"	"1999"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	103	10357700	1.0
