"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Female"	"F"	"2021 (provisional)"	"2021"	"Assault by drugs, medicaments and biological substances"	"X85"	16	1826869	Unreliable
"Total"	"< 1 year"	"1"	"Female"	"F"	"2021 (provisional)"	"2021"			35	1826869	1.9
"Total"	"< 1 year"	"1"	"Female"	"F"					35	1826869	1.9
	"< 1 year"	"1"	"Male"	"M"	"2021 (provisional)"	"2021"	"Assault by drugs, medicaments and biological substances"	"X85"	15	1908141	Unreliable
"Total"	"< 1 year"	"1"	"Male"	"M"	"2021 (provisional)"	"2021"			42	1908141	2.2
"Total"	"< 1 year"	"1"	"Male"	"M"					42	1908141	2.2
"Total"	"< 1 year"	"1"							77	3735010	2.1
	"1-4 years"	"1-4"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	11	7613266	Unreliable
	"1-4 years"	"1-4"	"Female"	"F"	"2021 (provisional)"	"2021"	"Assault by drugs, medicaments and biological substances"	"X85"	21	7613266	0.3
	"1-4 years"	"1-4"	"Female"	"F"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	21	7613266	0.3
"Total"	"1-4 years"	"1-4"	"Female"	"F"	"2021 (provisional)"	"2021"			60	7613266	0.8
"Total"	"1-4 years"	"1-4"	"Female"	"F"					60	7613266	0.8
	"1-4 years"	"1-4"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	13	7953016	Unreliable
	"1-4 years"	"1-4"	"Male"	"M"	"2021 (provisional)"	"2021"	"Assault by drugs, medicaments and biological substances"	"X85"	20	7953016	0.3
	"1-4 years"	"1-4"	"Male"	"M"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	21	7953016	0.3
"Total"	"1-4 years"	"1-4"	"Male"	"M"	"2021 (provisional)"	"2021"			71	7953016	0.9
"Total"	"1-4 years"	"1-4"	"Male"	"M"					71	7953016	0.9
"Total"	"1-4 years"	"1-4"							131	15566282	0.8
"Total"	"5-9 years"	"5-9"	"Female"	"F"	"2021 (provisional)"	"2021"			10	9890958	Unreliable
"Total"	"5-9 years"	"5-9"	"Female"	"F"					10	9890958	Unreliable
"Total"	"5-9 years"	"5-9"	"Male"	"M"	"2021 (provisional)"	"2021"			23	10346753	0.2
"Total"	"5-9 years"	"5-9"	"Male"	"M"					23	10346753	0.2
"Total"	"5-9 years"	"5-9"							33	20237711	0.2
	"10-14 years"	"10-14"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	16	10159455	Unreliable
	"10-14 years"	"10-14"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	14	10159455	Unreliable
	"10-14 years"	"10-14"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	159	10159455	1.6
	"10-14 years"	"10-14"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	44	10159455	0.4
