"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"Female"	"F"	"2001"	"2001"	10	9908897	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2003"	"2003"	12	10086567	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2004"	"2004"	14	10242793	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2007"	"2007"	17	10731326	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2008"	"2008"	10	10805148	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2009"	"2009"	11	10804571	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2010"	"2010"	14	10736677	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2011"	"2011"	13	10525097	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2012"	"2012"	10	10397841	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2013"	"2013"	16	10312774	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2014"	"2014"	12	10283624	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2015"	"2015"	10	10311036	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2018"	"2018"	12	10322313	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2019"	"2019"	16	10308963	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"1999"	"1999"	20	10323033	0.2
	"15-19 years"	"15-19"	"Male"	"M"	"2000"	"2000"	27	10391004	0.3
	"15-19 years"	"15-19"	"Male"	"M"	"2001"	"2001"	31	10547387	0.3
	"15-19 years"	"15-19"	"Male"	"M"	"2002"	"2002"	28	10628491	0.3
	"15-19 years"	"15-19"	"Male"	"M"	"2003"	"2003"	37	10710599	0.3
	"15-19 years"	"15-19"	"Male"	"M"	"2004"	"2004"	25	10859759	0.2
	"15-19 years"	"15-19"	"Male"	"M"	"2005"	"2005"	33	11051425	0.3
	"15-19 years"	"15-19"	"Male"	"M"	"2006"	"2006"	44	11210416	0.4
	"15-19 years"	"15-19"	"Male"	"M"	"2007"	"2007"	37	11336490	0.3
	"15-19 years"	"15-19"	"Male"	"M"	"2008"	"2008"	38	11405732	0.3
	"15-19 years"	"15-19"	"Male"	"M"	"2009"	"2009"	41	11388239	0.4
	"15-19 years"	"15-19"	"Male"	"M"	"2010"	"2010"	24	11303666	0.2
	"15-19 years"	"15-19"	"Male"	"M"	"2011"	"2011"	18	11118946	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"2012"	"2012"	28	10962861	0.3
	"15-19 years"	"15-19"	"Male"	"M"	"2013"	"2013"	22	10846190	0.2
	"15-19 years"	"15-19"	"Male"	"M"	"2014"	"2014"	20	10784023	0.2
	"15-19 years"	"15-19"	"Male"	"M"	"2015"	"2015"	22	10797867	0.2
	"15-19 years"	"15-19"	"Male"	"M"	"2016"	"2016"	23	10801846	0.2
