"Notes"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"1999"	"1999"	"1-4 years"	"1-4"	13	7493614	Unreliable
	"Female"	"F"	"1999"	"1999"	"15-19 years"	"15-19"	116	9761569	1.2
	"Female"	"F"	"1999"	"1999"	"20-24 years"	"20-24"	254	9098615	2.8
	"Female"	"F"	"1999"	"1999"	"25-29 years"	"25-29"	385	9695967	4.0
	"Female"	"F"	"1999"	"1999"	"30-34 years"	"30-34"	615	10249123	6.0
	"Female"	"F"	"1999"	"1999"	"35-39 years"	"35-39"	1004	11474154	8.8
	"Female"	"F"	"1999"	"1999"	"40-44 years"	"40-44"	1184	11195450	10.6
	"Female"	"F"	"1999"	"1999"	"45-49 years"	"45-49"	921	9987734	9.2
	"Female"	"F"	"1999"	"1999"	"50-54 years"	"50-54"	570	8644571	6.6
	"Female"	"F"	"1999"	"1999"	"55-59 years"	"55-59"	309	6765034	4.6
	"Female"	"F"	"1999"	"1999"	"60-64 years "	"60-64"	164	5613729	2.9
	"Female"	"F"	"1999"	"1999"	"65-69 years"	"65-69"	137	5141988	2.7
	"Female"	"F"	"1999"	"1999"	"70-74 years"	"70-74"	133	4983436	2.7
	"Female"	"F"	"1999"	"1999"	"75-79 years"	"75-79"	160	4331221	3.7
	"Female"	"F"	"1999"	"1999"	"80-84 years"	"80-84"	123	3079977	4.0
	"Female"	"F"	"1999"	"1999"	"85-89 years"	"85-89"	83	Not Applicable	Not Applicable
	"Female"	"F"	"1999"	"1999"	"90-94 years"	"90-94"	33	Not Applicable	Not Applicable
	"Female"	"F"	"1999"	"1999"	"95-99 years"	"95-99"	10	Not Applicable	Not Applicable
	"Female"	"F"	"2000"	"2000"	"10-14 years"	"10-14"	16	10007875	Unreliable
	"Female"	"F"	"2000"	"2000"	"15-19 years"	"15-19"	134	9828886	1.4
	"Female"	"F"	"2000"	"2000"	"20-24 years"	"20-24"	267	9276187	2.9
	"Female"	"F"	"2000"	"2000"	"25-29 years"	"25-29"	393	9582576	4.1
	"Female"	"F"	"2000"	"2000"	"30-34 years"	"30-34"	619	10188619	6.1
	"Female"	"F"	"2000"	"2000"	"35-39 years"	"35-39"	1028	11387968	9.0
	"Female"	"F"	"2000"	"2000"	"40-44 years"	"40-44"	1288	11312761	11.4
	"Female"	"F"	"2000"	"2000"	"45-49 years"	"45-49"	1001	10202898	9.8
	"Female"	"F"	"2000"	"2000"	"50-54 years"	"50-54"	627	8977824	7.0
	"Female"	"F"	"2000"	"2000"	"55-59 years"	"55-59"	361	6960508	5.2
	"Female"	"F"	"2000"	"2000"	"60-64 years "	"60-64"	195	5668820	3.4
	"Female"	"F"	"2000"	"2000"	"65-69 years"	"65-69"	117	5133183	2.3
	"Female"	"F"	"2000"	"2000"	"70-74 years"	"70-74"	134	4954529	2.7
	"Female"	"F"	"2000"	"2000"	"75-79 years"	"75-79"	126	4371357	2.9
	"Female"	"F"	"2000"	"2000"	"80-84 years"	"80-84"	117	3110470	3.8
	"Female"	"F"	"2000"	"2000"	"85-89 years"	"85-89"	87	Not Applicable	Not Applicable
	"Female"	"F"	"2000"	"2000"	"90-94 years"	"90-94"	50	Not Applicable	Not Applicable
	"Female"	"F"	"2000"	"2000"	"95-99 years"	"95-99"	11	Not Applicable	Not Applicable
	"Female"	"F"	"2001"	"2001"	"10-14 years"	"10-14"	18	10231469	Unreliable
	"Female"	"F"	"2001"	"2001"	"15-19 years"	"15-19"	153	9908897	1.5
	"Female"	"F"	"2001"	"2001"	"20-24 years"	"20-24"	310	9676950	3.2
	"Female"	"F"	"2001"	"2001"	"25-29 years"	"25-29"	410	9303113	4.4
	"Female"	"F"	"2001"	"2001"	"30-34 years"	"30-34"	689	10263930	6.7
