"REF_DATE","GEO","DGUID","Age group","Sex","Cause of death (ICD-10)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Canada","2016A000011124","Total, all ages","Males","Alcoholic liver disease [K70]","Number","223","units","0","v21029685","1.1.2.4508","1431","","","","0"
"2023","Canada","2016A000011124","Total, all ages","Males","Chronic hepatitis, not elsewhere classified [K73]","Number","223","units","0","v21029700","1.1.2.4530","1","","","","0"
"2023","Canada","2016A000011124","Total, all ages","Males","Fibrosis and cirrhosis of liver [K74]","Number","223","units","0","v21029703","1.1.2.4536","1294","","","","0"
"2023","Canada","2016A000011124","Total, all ages","Females","Alcoholic liver disease [K70]","Number","223","units","0","v21029938","1.1.3.4508","690","","","","0"
"2023","Canada","2016A000011124","Total, all ages","Females","Chronic hepatitis, not elsewhere classified [K73]","Number","223","units","0","v21029953","1.1.3.4530","3","","","","0"
"2023","Canada","2016A000011124","Total, all ages","Females","Fibrosis and cirrhosis of liver [K74]","Number","223","units","0","v21029956","1.1.3.4536","955","","","","0"
"2023","Canada","2016A000011124","Under 1 year","Males","Alcoholic liver disease [K70]","Number","223","units","0","v21030444","1.2.2.4508","0","","","","0"
"2023","Canada","2016A000011124","Under 1 year","Males","Chronic hepatitis, not elsewhere classified [K73]","Number","223","units","0","v21030459","1.2.2.4530","0","","","","0"
"2023","Canada","2016A000011124","Under 1 year","Males","Fibrosis and cirrhosis of liver [K74]","Number","223","units","0","v21030462","1.2.2.4536","0","","","","0"
"2023","Canada","2016A000011124","Under 1 year","Females","Alcoholic liver disease [K70]","Number","223","units","0","v21030697","1.2.3.4508","0","","","","0"
"2023","Canada","2016A000011124","Under 1 year","Females","Chronic hepatitis, not elsewhere classified [K73]","Number","223","units","0","v21030712","1.2.3.4530","0","","","","0"
"2023","Canada","2016A000011124","Under 1 year","Females","Fibrosis and cirrhosis of liver [K74]","Number","223","units","0","v21030715","1.2.3.4536","0","","","","0"
"2023","Canada","2016A000011124","1 to 4 years","Males","Alcoholic liver disease [K70]","Number","223","units","0","v21031203","1.3.2.4508","0","","","","0"
"2023","Canada","2016A000011124","1 to 4 years","Males","Chronic hepatitis, not elsewhere classified [K73]","Number","223","units","0","v21031218","1.3.2.4530","0","","","","0"
"2023","Canada","2016A000011124","1 to 4 years","Males","Fibrosis and cirrhosis of liver [K74]","Number","223","units","0","v21031221","1.3.2.4536","0","","","","0"
"2023","Canada","2016A000011124","1 to 4 years","Females","Alcoholic liver disease [K70]","Number","223","units","0","v21031456","1.3.3.4508","0","","","","0"
"2023","Canada","2016A000011124","1 to 4 years","Females","Chronic hepatitis, not elsewhere classified [K73]","Number","223","units","0","v21031471","1.3.3.4530","0","","","","0"
"2023","Canada","2016A000011124","1 to 4 years","Females","Fibrosis and cirrhosis of liver [K74]","Number","223","units","0","v21031474","1.3.3.4536","0","","","","0"
"2023","Canada","2016A000011124","5 to 9 years","Males","Alcoholic liver disease [K70]","Number","223","units","0","v21031962","1.4.2.4508","0","","","","0"
"2023","Canada","2016A000011124","5 to 9 years","Males","Chronic hepatitis, not elsewhere classified [K73]","Number","223","units","0","v21031977","1.4.2.4530","0","","","","0"
"2023","Canada","2016A000011124","5 to 9 years","Males","Fibrosis and cirrhosis of liver [K74]","Number","223","units","0","v21031980","1.4.2.4536","0","","","","0"
"2023","Canada","2016A000011124","5 to 9 years","Females","Alcoholic liver disease [K70]","Number","223","units","0","v21032215","1.4.3.4508","0","","","","0"
"2023","Canada","2016A000011124","5 to 9 years","Females","Chronic hepatitis, not elsewhere classified [K73]","Number","223","units","0","v21032230","1.4.3.4530","0","","","","0"
"2023","Canada","2016A000011124","5 to 9 years","Females","Fibrosis and cirrhosis of liver [K74]","Number","223","units","0","v21032233","1.4.3.4536","0","","","","0"
"2023","Canada","2016A000011124","10 to 14 years","Males","Alcoholic liver disease [K70]","Number","223","units","0","v21032721","1.5.2.4508","0","","","","0"
