"REF_DATE","GEO","DGUID","Age group","Sex","Cause of death (ICD-10)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Canada","2021A000011124","Total, all ages","Males","Accidental poisoning by and exposure to alcohol [X45]","Number","223","units","0","v21074683","1.1.2.9014","137","","","","0"
"2023","Canada","2021A000011124","Total, all ages","Males","Intentional self-poisoning by and exposure to alcohol [X65]","Number","223","units","0","v21074700","1.1.2.9035","5","","","","0"
"2023","Canada","2021A000011124","Total, all ages","Females","Accidental poisoning by and exposure to alcohol [X45]","Number","223","units","0","v21075196","1.1.3.9014","44","","","","0"
"2023","Canada","2021A000011124","Total, all ages","Females","Intentional self-poisoning by and exposure to alcohol [X65]","Number","223","units","0","v21075213","1.1.3.9035","5","","","","0"
"2023","Canada","2021A000011124","Under 1 year","Males","Accidental poisoning by and exposure to alcohol [X45]","Number","223","units","0","v21076222","1.2.2.9014","0","","","","0"
"2023","Canada","2021A000011124","Under 1 year","Males","Intentional self-poisoning by and exposure to alcohol [X65]","Number","223","units","0","v21076239","1.2.2.9035","0","","","","0"
"2023","Canada","2021A000011124","Under 1 year","Females","Accidental poisoning by and exposure to alcohol [X45]","Number","223","units","0","v21076735","1.2.3.9014","0","","","","0"
"2023","Canada","2021A000011124","Under 1 year","Females","Intentional self-poisoning by and exposure to alcohol [X65]","Number","223","units","0","v21076752","1.2.3.9035","0","","","","0"
"2023","Canada","2021A000011124","1 to 4 years","Males","Accidental poisoning by and exposure to alcohol [X45]","Number","223","units","0","v21077761","1.3.2.9014","0","","","","0"
"2023","Canada","2021A000011124","1 to 4 years","Males","Intentional self-poisoning by and exposure to alcohol [X65]","Number","223","units","0","v21077778","1.3.2.9035","0","","","","0"
"2023","Canada","2021A000011124","1 to 4 years","Females","Accidental poisoning by and exposure to alcohol [X45]","Number","223","units","0","v21078274","1.3.3.9014","0","","","","0"
"2023","Canada","2021A000011124","1 to 4 years","Females","Intentional self-poisoning by and exposure to alcohol [X65]","Number","223","units","0","v21078291","1.3.3.9035","0","","","","0"
"2023","Canada","2021A000011124","5 to 9 years","Males","Accidental poisoning by and exposure to alcohol [X45]","Number","223","units","0","v21079300","1.4.2.9014","0","","","","0"
"2023","Canada","2021A000011124","5 to 9 years","Males","Intentional self-poisoning by and exposure to alcohol [X65]","Number","223","units","0","v21079317","1.4.2.9035","0","","","","0"
"2023","Canada","2021A000011124","5 to 9 years","Females","Accidental poisoning by and exposure to alcohol [X45]","Number","223","units","0","v21079813","1.4.3.9014","0","","","","0"
"2023","Canada","2021A000011124","5 to 9 years","Females","Intentional self-poisoning by and exposure to alcohol [X65]","Number","223","units","0","v21079830","1.4.3.9035","0","","","","0"
"2023","Canada","2021A000011124","10 to 14 years","Males","Accidental poisoning by and exposure to alcohol [X45]","Number","223","units","0","v21080839","1.5.2.9014","0","","","","0"
"2023","Canada","2021A000011124","10 to 14 years","Males","Intentional self-poisoning by and exposure to alcohol [X65]","Number","223","units","0","v21080856","1.5.2.9035","0","","","","0"
"2023","Canada","2021A000011124","10 to 14 years","Females","Accidental poisoning by and exposure to alcohol [X45]","Number","223","units","0","v21081352","1.5.3.9014","0","","","","0"
"2023","Canada","2021A000011124","10 to 14 years","Females","Intentional self-poisoning by and exposure to alcohol [X65]","Number","223","units","0","v21081369","1.5.3.9035","0","","","","0"
"2023","Canada","2021A000011124","15 to 19 years","Males","Accidental poisoning by and exposure to alcohol [X45]","Number","223","units","0","v21082378","1.6.2.9014","3","","","","0"
"2023","Canada","2021A000011124","15 to 19 years","Males","Intentional self-poisoning by and exposure to alcohol [X65]","Number","223","units","0","v21082395","1.6.2.9035","0","","","","0"
"2023","Canada","2021A000011124","15 to 19 years","Females","Accidental poisoning by and exposure to alcohol [X45]","Number","223","units","0","v21082891","1.6.3.9014","1","","","","0"
"2023","Canada","2021A000011124","15 to 19 years","Females","Intentional self-poisoning by and exposure to alcohol [X65]","Number","223","units","0","v21082908","1.6.3.9035","0","","","","0"
"2023","Canada","2021A000011124","20 to 24 years","Males","Accidental poisoning by and exposure to alcohol [X45]","Number","223","units","0","v21083917","1.7.2.9014","3","","","","0"
"2023","Canada","2021A000011124","20 to 24 years","Males","Intentional self-poisoning by and exposure to alcohol [X65]","Number","223","units","0","v21083934","1.7.2.9035","0","","","","0"
"2023","Canada","2021A000011124","20 to 24 years","Females","Accidental poisoning by and exposure to alcohol [X45]","Number","223","units","0","v21084430","1.7.3.9014","2","","","","0"
"2023","Canada","2021A000011124","20 to 24 years","Females","Intentional self-poisoning by and exposure to alcohol [X65]","Number","223","units","0","v21084447","1.7.3.9035","1","","","","0"
