Drink,ABV,Austria,Belgium,Bulgaria,Cyprus,Czech Republic,Germany,Denmark,Estonia,Greece,Spain,Finland,France,Croatia,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Sweden,Slovenia,Slovakia,UK,Albania,Andorra,Armenia,Azerbaijan,Belarus,Bosnia and Herzegovina,Georgia,Iceland,Israel,Kazakhstan,Kyrgyzstan,Monaco,Montenegro,Norway,Moldova,Russian Federation,San Marino,Serbia,Switzerland,Tajikistan,The Former Yugoslav Republic of Macedonia,Turkey,Turkmenistan,Ukraine,Uzbekistan
Beer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beer,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200553153,0,6.769739565,52.82074483,0,3.637734049,0.001593139,0,0,4.540282997,9.574928255,0,0.175079055,0,3.314017267,0,0,7.34885148,1.756883674,22.19747831,0.260064503,1.181590783,35.5027383,4.358238376,7.271848297
Beer,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200553153,0,3.384869783,26.41037241,0,1.818867024,0.001593139,0,0,2.270141498,4.787464127,0,0.175079055,0,1.657008634,0,0,3.67442574,0.878441837,11.09873916,0.260064503,1.181590783,17.75136915,2.179119188,3.635924149
Beer,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200553153,0,2.256579855,17.60691494,0,1.212578016,0.001593139,0,0,1.513427666,3.191642752,0,0.175079055,0,1.104672422,0,0,2.44961716,0.585627891,7.399159438,0.260064503,1.181590783,11.8342461,1.452746125,2.423949432
Beer,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200553153,0,1.692434891,13.20518621,0,0.909433512,0.001593139,0,0,1.135070749,2.393732064,0,0.175079055,0,0.828504317,0,0,1.83721287,0.439220918,5.549369578,0.260064503,1.181590783,8.875684574,1.089559594,1.817962074
Beer,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200553153,0,1.353947913,10.56414897,0,0.72754681,0.001593139,0,0,0.908056599,1.914985651,0,0.175079055,0,0.662803453,0,0,1.469770296,0.351376735,4.439495663,0.260064503,1.181590783,7.100547659,0.871647675,1.454369659
Beer,0.006,0.079284913,0.079187136,0.069459514,0.117413926,0.07751728,0.03206404,0,0.390078312,0.265282352,0,0.112394105,0.059131223,0.145744995,0.148136664,0,0.133325825,0.195769473,0.028285626,0.527669042,0.023622379,0.229311442,0.137535081,0.298096391,0.061782607,0,0.255881256,0.092192509,0.149918055,0.200553153,0,1.128289928,8.803457471,1.26199059,0.606289008,0.001593139,0,0,0.756713833,1.595821376,0.059131223,0.175079055,0,0.552336211,1.84354419,0.135816422,1.22480858,0.292813946,3.699579719,0.260064503,1.181590783,5.91712305,0.726373063,1.211974716
Beer,0.007,0.079284913,0.079187136,0.069459514,0.117413926,0.07751728,0.03206404,0,0.390078312,0.265282352,0,0.112394105,0.059131223,0.145744995,0.148136664,0,0.133325825,0.195769473,0.028285626,0.45228775,0.023622379,0.196552665,0.137535081,0.255511192,0.061782607,0,0.255881256,0.092192509,0.149918055,0.200553153,0,0.967105652,7.54582069,1.08170622,0.519676293,0.001593139,0,0,0.648611857,1.367846894,0.059131223,0.175079055,0,0.473431038,1.580180735,0.135816422,1.049835926,0.250983382,3.17106833,0.260064503,1.181590783,5.071819757,0.622605482,1.038835471
Beer,0.008,0.079284913,0.079187136,0.069459514,0.117413926,0.07751728,0.03206404,0,0.390078312,0.265282352,0,0.112394105,0.059131223,0.145744995,0.148136664,0,0.133325825,0.195769473,0.028285626,0.395751781,0.023622379,0.171983581,0.137535081,0.223572293,0.061782607,0,0.255881256,0.092192509,0.149918055,0.200553153,0,0.846217446,6.602593104,0.946492942,0.454716756,0.001593139,0,0,0.567535375,1.196866032,0.059131223,0.175079055,0.529196014,0.414252158,1.382658143,0.135816422,0.918606435,0.219610459,2.774684789,0.260064503,1.181590783,4.437842287,0.544779797,0.908981037
Beer,0.009,0.079284913,0.079187136,0.069459514,0.117413926,0.07751728,0.03206404,0,0.390078312,0.265282352,0,0.112394105,0.059131223,0.145744995,0.148136664,0,0.133325825,0.195769473,0.028285626,0.351779361,0.023622379,0.152874295,0.137535081,0.198730927,0.061782607,0,0.255881256,0.092192509,0.149918055,0.200553153,0,0.752193285,5.868971648,0.84132706,0.404192672,0.001593139,0,0,0.504475889,1.063880917,0.059131223,0.175079055,0.470396457,0.368224141,1.22902946,0.135816422,0.816539053,0.195209297,2.466386479,0.260064503,1.181590783,3.9447487,0.484248708,0.807983144
